Component,Difumo_names,Yeo_networks7,Yeo_networks17,GM,WM,CSF
74,Insula,SalVentAttnA,SalVentAttnA,0.8503333468058273,0.1227712937726982,0.026907242515048075
75,"Inferior frontal sulcus posterior, LH",ContA,ContA,0.5897697664771725,0.3481950338196604,0.06128444815779267
76,Superior frontal gyrus posterior,DefaultB,DefaultB,0.6064521306181737,0.32939123612873583,0.060432298391525176
77,Cuneus inferior,VisCent,VisPeri,0.557996684022527,0.33226694814924873,0.10297586950207979
78,Mid-posterior lingual gyrus,VisCent,VisCent,0.5956588364276045,0.3574245849219889,0.04665655983285569
79,"Frontal pole lateral, RH",ContA,ContB,0.62493440644711,0.16305627703288317,0.09916005330564698
80,"Inferior temporal gyrus, posterior, LH",DorsAttnB,DorsAttnA,0.7639003239356372,0.17852270150360308,0.057314472852769305
81,Cerebellum Crus I RH,No network found,No network found,0.8362820742427649,0.11603905643614773,0.047062310978316986
82,Cerebrospinal fluid (between superior frontal gyrus and skull),DefaultB,DefaultB,0.44106889894500373,0.012341407955618314,0.1366912132722874
83,Central sulcus inferior,SomMotA,SomMotB,0.5993400159008958,0.30129081212210823,0.08724770139652302
84,"Superior occipital sulcus, inferior",VisCent,VisCent,0.5685243632637582,0.3219124644774504,0.10473707567067521
85,Calcarine sulcus,No network found,No network found,0.16893346691072467,0.7973026230353958,0.0337730179085642
86,Heschl’s gyrus,SomMotA,SomMotB,0.7583072664565003,0.033383462908717035,0.20830725425180915
87,Superior parts of central and postcentral sulci,SomMotA,SomMotA,0.4800328144637514,0.37553723394387417,0.14378472534881837
88,Cuneus inferior,VisCent,VisPeri,0.69290629522807,0.18549445438392065,0.12160310824793684
89,Transverse occipital sulcus,VisCent,VisCent,0.5136824439197791,0.45214323545797547,0.03405690929784663
90,Dorsal posterior cingulate cortex,DefaultB,ContC,0.5796113420397161,0.3465720947702736,0.07382289791156575
91,Cerebellum Crus I superior,No network found,No network found,0.8207522495968742,0.025245506240088318,0.15082409391648177
92,Frontomarginal gyrus,ContA,ContB,0.09777800949999782,0.9008611142343599,0.001367777827371956
93,Optic radiation LH,No network found,TempPar,0.07341138683604496,0.9260141979247289,0.0005756684845444446
94,"Inferior frontal sulcus anterior, LH",ContA,ContA,0.6226677723100902,0.3070750398112635,0.05917862329363859
95,Posterior hippocampus,No network found,No network found,0.6394617289694265,0.3064543994741251,0.054089442379007355
96,Cerebellum IV,No network found,No network found,0.7441541915904325,0.013627386823469657,0.242219508857429
97,Superior occipital gyrus RH,DorsAttnB,DorsAttnA,0.6123230938820375,0.332162150818694,0.05352784759126595
98,Middle frontal gyrus medial RH,No network found,No network found,0.05510027567850949,0.9445197293954353,0.00038628330296462454
99,Precentral gyrus superior,DorsAttnB,DorsAttnB,0.5543959617314088,0.35293790047715434,0.08829479420861854
100,Central sulcus middle,SomMotA,SomMotB,0.5417689776214631,0.3649048746499183,0.09277736416195102
101,Internal capsule anterior horn RH,No network found,No network found,0.032688431985418,0.9665565596618425,0.0007699761205093921
102,Ventral posterior cingulate cortex,DefaultB,DefaultC,0.7007281453190771,0.1970513760489322,0.10222999881534696
103,"Lateral ventricles, middle",No network found,No network found,0.48578232081266326,0.193202337457066,0.3210201349831285
104,Frontal pole,LimbicA,LimbicB,0.5716908960619372,0.35691641520188455,0.05452013878103522
105,Putamen anterior,No network found,No network found,0.7116175396474494,0.2879112349346076,0.00048314345255377967
106,"Intraparietal sulcus posterior, LH",DorsAttnB,DorsAttnA,0.5247944257152084,0.35287078521958265,0.11678698461235781
107,Occipital pole,VisCent,VisCent,0.5166307440604512,0.3814030199631472,0.08407647061890468
108,Middle temporal gyrus posterior,DorsAttnB,DorsAttnB,0.6855398806053599,0.22236302507996078,0.07015670503912172
109,Angular gyrus RH,DefaultB,DefaultA,0.5393589649372129,0.41893804627274656,0.03512776153403037
110,Insula anterior,SalVentAttnA,SalVentAttnB,0.7846138753133469,0.1355357425016606,0.07985898530521593
111,Retrosplenial cortex,No network found,DefaultC,0.2649436882553227,0.049992454311065436,0.6850609735688628
112,Fusiform gyrus posterior,VisCent,VisCent,0.668981416851851,0.16628234391162858,0.1477318518734447
113,Lateral occipital cortex anterior,VisCent,DorsAttnA,0.6363681172995365,0.3072872109188604,0.053806684259737406
114,Precentral gyrus medial superior,No network found,No network found,0.04993817001491022,0.949841721131388,0.00022082812138006172
115,Superior parts of central and postcentral sulci LH,SomMotA,SomMotA,0.48878001001090227,0.3674340474637724,0.13818354194705076
116,Mid-posterior medial frontal gyrus,ContA,SalVentAttnB,0.6619998005584912,0.10340393984941149,0.23437011366838673
117,"Collateral sulcus, middle",VisCent,DefaultC,0.7814389905454376,0.14645813671535804,0.07210076803826578
118,"Intraparietal sulcus ventral, RH",ContA,ContA,0.5785034178665645,0.3182824724701595,0.10174235259923159
119,Calcarine sulcus posterior,VisCent,VisPeri,0.6085131297183076,0.2997708362622347,0.09157311337444107
120,Lateral occipital cortex superior,DorsAttnB,DefaultC,0.6199984183040705,0.20827391007013712,0.11672697903493941
121,Dorsomedial prefrontal cortex,ContA,SalVentAttnB,0.7038767357545621,0.1636600242998511,0.13244070212006867
122,"Occipital pole, superior",VisCent,VisCent,0.4932245888398189,0.41882186550457345,0.06690187033345414
123,Callosomarginal sulcus,SomMotA,SomMotA,0.616994322267034,0.2728458981550192,0.11016354765555765
124,"Intraparietal sulcus posterior, RH",DorsAttnB,DorsAttnA,0.5576671363499441,0.32922451235125366,0.10924955992180846
125,Hippocampal fissure,No network found,DefaultC,0.5400112646726961,0.14594297365461092,0.31368017926475406
126,"Angular gyrus posterior, RH",DefaultB,DefaultC,0.7005708690577199,0.2218184981847853,0.07544150829486464
127,"Angular gyrus posterior, LH",DefaultB,DefaultB,0.6721224104508357,0.24168753655684186,0.07578532109702255
128,"Parieto-occipital sulcus, inferior",VisCent,DefaultC,0.586277607719322,0.365207797713436,0.048515996482929716
